Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
1350.0,"Balikpapan Utara, Balikpapan",2.0,2.0,112,120,SHM - Sertifikat Hak Milik,2200
1200.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,150,65,HGB - Hak Guna Bangunan,2200
2100.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,216,250,SHM - Sertifikat Hak Milik,3500
550.0,"Batakan, Balikpapan",2.0,2.0,221,78,SHM - Sertifikat Hak Milik,1300
1200.0,"Batakan, Balikpapan",3.0,2.0,395,121,SHM - Sertifikat Hak Milik,1300
1200.0,"Karang Joang, Balikpapan",6.0,3.0,147,220,SHM - Sertifikat Hak Milik,2200
4600.0,"Balikpapan Baru, Balikpapan",4.0,4.0,300,300,SHM - Sertifikat Hak Milik,5500
400.0,"Manggar Baru, Balikpapan",4.0,2.0,300,150,SHM - Sertifikat Hak Milik,900
1200.0,"Gn. Samarinda, Balikpapan",4.0,2.0,160,145,SHM - Sertifikat Hak Milik,4400
1350.0,"Damai, Balikpapan",2.0,1.0,122,60,SHM - Sertifikat Hak Milik,5500
450.0,"Manggar, Balikpapan",3.0,1.0,150,126,SHM - Sertifikat Hak Milik,900
2200.0,"Karang Rejo, Balikpapan",7.0,7.0,176,240,SHM - Sertifikat Hak Milik,2200
1850.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,152,167,SHM - Sertifikat Hak Milik,2200
400.0,"Batu Ampar, Balikpapan",1.0,1.0,150,120,SHM - Sertifikat Hak Milik,900
1200.0,"Gunung Bahagia, Balikpapan",3.0,3.0,241,316,SHM - Sertifikat Hak Milik,5500
1200.0,"Damai, Balikpapan",3.0,2.0,187,134,SHM - Sertifikat Hak Milik,2200
1300.0,"Balikpapan Selatan, Balikpapan",9.0,4.0,150,300,SHM - Sertifikat Hak Milik,2200
1500.0,"Balikpapan Baru, Balikpapan",2.0,2.0,150,100,SHM - Sertifikat Hak Milik,2200
4500.0,"Marga Sari, Balikpapan",10.0,2.0,880,600,SHM - Sertifikat Hak Milik,2200
2600.0,"Telaga Sari, Balikpapan",4.0,1.0,176,176,SHM - Sertifikat Hak Milik,900
630.0,"Gunung Bahagia, Balikpapan",2.0,1.0,180,36,SHM - Sertifikat Hak Milik,1300
880.0,"Gunung Bahagia, Balikpapan",5.0,3.0,150,150,SHM - Sertifikat Hak Milik,5500
895.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,98,60,SHM - Sertifikat Hak Milik,1300
1700.0,"Balikpapan Utara, Balikpapan",3.0,1.0,260,100,SHM - Sertifikat Hak Milik,2200
1200.0,"Balikpapan Utara, Balikpapan",5.0,2.0,300,150,SHM - Sertifikat Hak Milik,1300
670.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,90,90,SHM - Sertifikat Hak Milik,2200
500.0,"Balikpapan Selatan, Balikpapan",4.0,1.0,200,200,SHM - Sertifikat Hak Milik,1300
4500.0,"Balikpapan Selatan, Balikpapan",5.0,4.0,1034,580,SHM - Sertifikat Hak Milik,4400
2200.0,"Balikpapan Baru, Balikpapan",3.0,2.0,180,128,SHM - Sertifikat Hak Milik,2200
9500.0,"Balikpapan Selatan, Balikpapan",4.0,3.0,670,400,SHM - Sertifikat Hak Milik,13200
