Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
BALIKPAPAN PERUM BUKIT DAMAI INDAH,"Rp 1,85 Miliar","Damai, Balikpapan",3,2,120 m²,80 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,1,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
BALIKPAPAN RUMAH MURAH SEPINGGAN,Rp 900 Juta,"Balikpapan Timur, Balikpapan",3,2,404 m²,150 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
"Dijual Rumah Luas di Jalan Markoni Atas, Balikpapan. Lt 689m2.","Rp 6,5 Miliar","Balikpapan Kota, Balikpapan",4,2,689 m²,692 m²,2,Rumah,SHM - Sertifikat Hak Milik,,1,1,Ya,Ya,Unfurnished,2,Pemukiman Warga,Ya,2 Mobil,,Tidak,Butuh Renovasi,Dijual
PERUMAHAN MEWAH BALIKPAPAN REGENCY,Rp 800 Juta,"Balikpapan Selatan, Balikpapan",2,1,168 m²,84 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
ŔUMAH MINIMALIS 2 LANTAI SIAP HUNI DI SEPINGGAN BARU,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",4,2,104 m²,100 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
BALIKPAPAN PERUM BALIKPAPAN BARU,"Rp 1,65 Miliar","Balikpapan Baru, Balikpapan",3,2,165 m²,64 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
Rumah 3 Lantai Konsep Smart Home Tengah Kota Balikpapan,"Rp 1,12 Miliar","Balikpapan Tengah, Balikpapan",3,3,84 m²,90 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Ya,Ya,Unfurnished,3,Perkotaan,Ya,2 Mobil,PAM atau PDAM,Tidak,Baru,Dijual
RUMAH SATU LANTAI BESAR MATRIAL RUMAH PREMIUM DALAM KOMPLEK PERUMAHAN,"Rp 3,7 Miliar","Balikpapan Selatan, Balikpapan",3,3,315 m²,242 m²,,Rumah,SHM - Sertifikat Hak Milik,6600 Watt,1,,,,,,,,,,,,Dijual
TURUN HARGA !!RUMAH MURAH DEKET DOME DAN LOTTE MART BALIKPAPAN,Rp 450 Juta,"Balikpapan Selatan, Balikpapan",2,1,105 m²,50 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
CANTIK DAN TERAWAT HARGA BERSAING,"Rp 1,5 Miliar","Balikpapan Selatan, Balikpapan",3,2,120 m²,90 m²,,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,,,,,,,,,,,Dijual
BEST SELLER RUMAH ADA KOLAM RENANG HARGA 3M-AN,"Rp 3,5 Miliar","Balikpapan Tengah, Balikpapan",3,2,315 m²,175 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
RUMAH MURAH SIAP HUNI DEKAT BANDARA DAN KANTOR KEDINASAN,Rp 750 Juta,"Balikpapan Selatan, Balikpapan",3,2,150 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
JARANG ADA DALAM KOMPLEK PERUMAHAN TENGAH KOTA,Rp 400 Juta,"Balikpapan Selatan, Balikpapan",2,1,72 m²,56 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
MINIMALIS LINGKUNGAN BERSIH RAMAH ANAK HOMMY,"Rp 1,65 Miliar","Balikpapan Selatan, Balikpapan",3,2,152 m²,95 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
DUA LANTAI TIGA KAMAR SELANGKAH KE BALIKPAPAN BARU,"Rp 1,1 Miliar","Balikpapan Selatan, Balikpapan",3,3,108 m²,60 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
