,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Carport,Tipe Properti,Sertifikat,Daya Listrik,Kamar Pembantu,Dapur,Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Pemandangan,Terjangkau Internet,Lebar Jalan,Sumber Air,Hook,Kondisi Properti,Tipe Iklan
155,303 Balikpapan Kampung Timur Rumah Cantik Siap Huni,Rp 500 Juta,"Balikpapan Utara, Balikpapan",2,1,90 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
156,BALIKPAPAN RUMAH IMPIAN 3 KAMAR SIAP PAKAI DI GRAND CITY BALIKPAPAN (LM301),"Rp 2,3 Miliar","Balikpapan Utara, Balikpapan",3,3,140 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
157,307 Balikpapan Kariangau Rumah 1 Lantai Di Perumahan Adiguna,Rp 485 Juta,"Balikpapan Utara, Balikpapan",3,2,120 m²,110 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
158,rumah dihook di perum Borneo Paradiso.  ,"Rp 1,95 Miliar","Batakan, Balikpapan",2,2,289 m²,100 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
159,PERUMAHAN CIPUTRA BALIKPAPAN (BDI),"Rp 3,75 Miliar","Balikpapan Selatan, Balikpapan",4,4,260 m²,240 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,,,,,,,,,,,,Dijual
160,"RUMAH SIAP HUNI, BEBAS BANJIR, DALAM KLUSTER ELITE","Rp 1,4 Miliar","Balikpapan Selatan, Balikpapan",4,4,150 m²,200 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
161,rumah konsep arsitek diperum Balikpapan regency,"Rp 1,85 Miliar","Balikpapan Selatan, Balikpapan",4,4,90 m²,180 m²,2,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
162,Dijual Rumah Original Hook Pupuk Balikpapan,"Rp 2,5 Miliar","Balikpapan Selatan, Balikpapan",2,1,216 m²,136 m²,1,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,1,1,Tidak,Tidak,,1,Pemukiman Warga,Ya,2 Mobil,PAM atau PDAM,Ya,Butuh Renovasi,Dijual
163,RUMAH MINIMALIS,Rp 950 Juta,"Balikpapan Selatan, Balikpapan",2,1,92 m²,45 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
164,rumah sultan posisi dihook dikawasan Uniba,Rp 2 Miliar,"Balikpapan Selatan, Balikpapan",4,3,216 m²,250 m²,4,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,,Tidak,Tidak,Furnished,,Pemukiman Warga,Tidak,3 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
165,Hunian Cantik dekat Masjid Islamic Center,Rp 850 Juta,"Balikpapan Selatan, Balikpapan",4,3,147 m²,109 m²,2,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,Tidak,Tidak,Unfurnished,,Pemukiman Warga,Tidak,2 Mobil,,Tidak,Bagus,Dijual
166,Hunian Unik di daerah Wika dan ditengah kota,"Rp 1,75 Miliar","Balikpapan Utara, Balikpapan",5,3,220 m²,200 m²,2,Rumah,SHM - Sertifikat Hak Milik,4400 Watt,,,Tidak,Tidak,Furnished,,Pemukiman Warga,Tidak,2 Mobil,PAM atau PDAM,Tidak,Bagus,Dijual
169,RUMAH 3 KAMAR BALIKPAPAN,"Rp 1,05 Miliar","Balikpapan Utara, Balikpapan",3,1,235 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
170,RUMAH TOWNHOUSE VILLA BALIKPAPAN,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,2,54 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
171,RUMAH TOWNHOUSE VILLA BALIKPAPAN,Rp 900 Juta,"Balikpapan Selatan, Balikpapan",3,2,54 m²,72 m²,,Rumah,SHM - Sertifikat Hak Milik,2200 Watt,,,,,,,,,,,,,Dijual
172,BALIKPAPAN RUMAH PUPUK TENGAH KOTA (LH52),"Rp 1,9 Miliar","Balikpapan Selatan, Balikpapan",4,3,250 m²,216 m²,1,Rumah,SHM - Sertifikat Hak Milik,3500 Watt,1,1,Tidak,Tidak,Unfurnished,1,,Tidak,2 Mobil,,Tidak,Bagus,Dijual
173,RUMAH DI KARANG REJO STRAT 1,Rp 650 Juta,"Balikpapan Tengah, Balikpapan",3,2,200 m²,120 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,,,,,,,,,,,Dijual
174,BALIKPAPAN PERUMAHAN BDS 2,Rp 675 Juta,"Balikpapan Selatan, Balikpapan",2,1,100 m²,85 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
175,RUMAH CONTOH PERUMAHAN PRIMARY CITRA City TIPE ALODIA,"Rp 1,72 Miliar","Balikpapan Selatan, Balikpapan",3,2,72 m²,74 m²,,Rumah,HGB - Hak Guna Bangunan,2200 Watt,,,,,,,,,,,,,Dijual
176,301 Balikpapan Grand City Rumah Impian 3 Kamar Siap Pakai,"Rp 2,3 Miliar","Balikpapan Utara, Balikpapan",3,3,140 m²,88 m²,,Rumah,SHM - Sertifikat Hak Milik,1300 Watt,,,Tidak,Tidak,,,,Tidak,,,Tidak,,Dijual
