Unnamed: 0,Judul,Harga,Lokasi,Kamar Tidur,Kamar Mandi,Luas Tanah,Luas Bangunan,Sertifikat,Daya Listrik
571,"BALIKPAPAN, RUMAH BESAR DAN NYAMAN DI PUPUK",3550.0,"Balikpapan Selatan, Balikpapan",6.0,4.0,300,290,SHM - Sertifikat Hak Milik,2200 Watt
572,"Rumah di Bukit Mutiara Indah Cendana 2 Wika Balikpapan 2 Lantai, bagus",1750.0,"Balikpapan Utara, Balikpapan",3.0,1.0,144,84,SHM - Sertifikat Hak Milik,1300 Watt
573,"BALIKPAPAN, RUMAH MURAH DI TAMAN SARI BUKIT MUTIARA",920.0,"Balikpapan Utara, Balikpapan",2.0,1.0,150,60,SHM - Sertifikat Hak Milik,1300 Watt
574,RUMAH MEWAH WIKA,4000.0,"Balikpapan Utara, Balikpapan",5.0,5.0,319,287,SHM - Sertifikat Hak Milik,2200 Watt
575,RUMAH DAN TANAH DI DAERAH KARANG JATI,1000.0,"Balikpapan Tengah, Balikpapan",4.0,3.0,424,150,SHM - Sertifikat Hak Milik,2200 Watt
576,Rumah di  di daerah kilo,1700.0,"Balikpapan Utara, Balikpapan",3.0,2.0,285,200,SHM - Sertifikat Hak Milik,2200 Watt
577,RUMAH DENGAN HARGA TERJANGKAU DAERAH PERUMAHAN DENGAN LOKASI AMAN DAN NYAMAN,750.0,"Balikpapan Utara, Balikpapan",2.0,2.0,90,90,SHM - Sertifikat Hak Milik,2200 Watt
578,Rumah Minimalis di Tengah Kota,950.0,"Balikpapan Utara, Balikpapan",4.0,2.0,201,180,SHM - Sertifikat Hak Milik,2200 Watt
579,Rumah siap huni di Balikpapan Baru Cluster Mediterania 2 Lantai ,1700.0,"Balikpapan Selatan, Balikpapan",3.0,2.0,105,100,SHM - Sertifikat Hak Milik,3500 Watt
580,Dijual Cepat Rumah di Tengah Kota Pupuk,2700.0,"Balikpapan Selatan, Balikpapan",2.0,1.0,500,224,HGB - Hak Guna Bangunan,1300 Watt
